爱尚直播,#genre#
CCTV1,https://tvlive.eu.org/api/aishang.php?id=cctv1
CCTV2,https://tvlive.eu.org/api/aishang.php?id=cctv2
CCTV3,https://tvlive.eu.org/api/aishang.php?id=cctv3
CCTV4,https://tvlive.eu.org/api/aishang.php?id=cctv4
CCTV4 欧洲,https://tvlive.eu.org/api/aishang.php?id=cctv42
CCTV5,https://tvlive.eu.org/api/aishang.php?id=cctv5
CCTV5+,https://tvlive.eu.org/api/aishang.php?id=cctv5p
CCTV6,https://tvlive.eu.org/api/aishang.php?id=cctv6
CCTV7,https://tvlive.eu.org/api/aishang.php?id=cctv7
CCTV8,https://tvlive.eu.org/api/aishang.php?id=cctv8
CCTV9,https://tvlive.eu.org/api/aishang.php?id=cctv9
CCTV9,https://tvlive.eu.org/api/aishang.php?id=cctv92
CCTV10,https://tvlive.eu.org/api/aishang.php?id=cctv10
CCTV11,https://tvlive.eu.org/api/aishang.php?id=cctv11
CCTV12,https://tvlive.eu.org/api/aishang.php?id=cctv12
CCTV13,https://tvlive.eu.org/api/aishang.php?id=cctv13
CCTV14,https://tvlive.eu.org/api/aishang.php?id=cctv14
CCTV15,https://tvlive.eu.org/api/aishang.php?id=cctv15
CCTV16,https://tvlive.eu.org/api/aishang.php?id=cctv16
CCTV16 4K,https://tvlive.eu.org/api/aishang.php?id=cctv164k
CCTV16 4K,https://tvlive.eu.org/api/aishang.php?id=cctv164k2
CCTV17,https://tvlive.eu.org/api/aishang.php?id=cctv17
北京卫视,https://tvlive.eu.org/api/aishang.php?id=bjws
东方卫视,https://tvlive.eu.org/api/aishang.php?id=dfws
天津卫视,https://tvlive.eu.org/api/aishang.php?id=tjws
黑龙江卫视,https://tvlive.eu.org/api/aishang.php?id=hljws
辽宁卫视,https://tvlive.eu.org/api/aishang.php?id=lnws
河北卫视,https://tvlive.eu.org/api/aishang.php?id=hbws
山东卫视,https://tvlive.eu.org/api/aishang.php?id=sdws
安徽卫视,https://tvlive.eu.org/api/aishang.php?id=ahws
湖北卫视,https://tvlive.eu.org/api/aishang.php?id=hubws
湖南卫视,https://tvlive.eu.org/api/aishang.php?id=hunws
江苏卫视,https://tvlive.eu.org/api/aishang.php?id=jsws
浙江卫视,https://tvlive.eu.org/api/aishang.php?id=zjws
东南卫视,https://tvlive.eu.org/api/aishang.php?id=dnws
广东卫视,https://tvlive.eu.org/api/aishang.php?id=gdws
深圳卫视,https://tvlive.eu.org/api/aishang.php?id=szws
贵州卫视,https://tvlive.eu.org/api/aishang.php?id=gzws
金鹰纪实,https://tvlive.eu.org/api/aishang.php?id=jyjs
重庆卫视,https://tvlive.eu.org/api/aishang.php?id=cqws
吉林卫视,https://tvlive.eu.org/api/aishang.php?id=jlws
江西卫视,https://tvlive.eu.org/api/aishang.php?id=jxws
内蒙古卫视,https://tvlive.eu.org/api/aishang.php?id=nmws
宁夏卫视,https://tvlive.eu.org/api/aishang.php?id=nxws
甘肃卫视,https://tvlive.eu.org/api/aishang.php?id=gsws
青海卫视,https://tvlive.eu.org/api/aishang.php?id=qhws
陕西卫视,https://tvlive.eu.org/api/aishang.php?id=sxws
山西卫视,https://tvlive.eu.org/api/sx.php?id=sxws
山西卫视,https://tvlive.eu.org/api/aishang.php?id=sxiws
河南卫视,https://tvlive.eu.org/api/aishang.php?id=hnws
厦门卫视,https://tvlive.eu.org/api/aishang.php?id=xmws
广西卫视,https://tvlive.eu.org/api/aishang.php?id=gxws
云南卫视,https://tvlive.eu.org/api/aishang.php?id=ynws
四川卫视,https://tvlive.eu.org/api/aishang.php?id=scws
康巴卫视,https://tvlive.eu.org/api/aishang.php?id=kbws
新疆卫视,https://tvlive.eu.org/api/aishang.php?id=xjws
兵团卫视,https://tvlive.eu.org/api/aishang.php?id=btws
西藏卫视,https://tvlive.eu.org/api/aishang.php?id=xzws
海南卫视,https://tvlive.eu.org/api/aishang.php?id=hinws
三沙卫视,https://tvlive.eu.org/api/aishang.php?id=ssws
CGTN,https://tvlive.eu.org/api/aishang.php?id=cgtn
CGTN 记录,https://tvlive.eu.org/api/aishang.php?id=cgtn2
CGTN 西班牙语,https://tvlive.eu.org/api/aishang.php?id=cgtne
CGTN 法语,https://tvlive.eu.org/api/aishang.php?id=cgtnf
CGTN 阿拉伯语,https://tvlive.eu.org/api/aishang.php?id=cgtna
CGTN 俄语,https://tvlive.eu.org/api/aishang.php?id=cgtnr
CETV1,https://tvlive.eu.org/api/aishang.php?id=cetv1
CHC家庭影院,https://tvlive.eu.org/api/aishang.php?id=chcjtyy
CHC动作电影,https://tvlive.eu.org/api/aishang.php?id=chcdzdy
CHC高清电影,https://tvlive.eu.org/api/aishang.php?id=chcgqdy
